trainee,timestamp,eventType,event
1,14.5.2020 10:59:51,msf-command,41-set
1,14.5.2020 11:00:02,msf-command,41-set
1,14.5.2020 11:00:14,msf-command,41-set
1,14.5.2020 11:16:53,bash-command,43-ls
1,14.5.2020 11:17:32,bash-command,43-cat
1,14.5.2020 11:20:58,bash-command,43-cd
1,14.5.2020 11:22:13,bash-command,43-ls
1,14.5.2020 11:22:44,bash-command,43-$ /usr/sbin/john
1,14.5.2020 11:24:10,bash-command,43-/usr/sbin/mailer
1,14.5.2020 11:25:26,bash-command,43-john
1,14.5.2020 11:26:27,bash-command,43-john
1,14.5.2020 11:28:01,bash-command,43-unafs
1,14.5.2020 11:31:00,bash-command,43-unshadow
1,14.5.2020 11:34:00,bash-command,43-python
1,14.5.2020 11:34:31,bash-command,43-ls
1,14.5.2020 11:35:18,bash-command,43-locate
1,14.5.2020 11:36:49,bash-command,43-python
1,14.5.2020 11:37:42,bash-command,43-john
1,14.5.2020 11:47:56,bash-command,43-john
1,14.5.2020 11:48:09,bash-command,43-ls
1,14.5.2020 11:48:20,bash-command,43-cat
1,14.5.2020 11:49:36,bash-command,43-john
1,14.5.2020 11:56:33,bash-command,44-ssh
1,14.5.2020 11:58:10,bash-command,44-ssh
1,14.5.2020 11:59:59,bash-command,44-ssh
1,14.5.2020 12:01:57,bash-command,44-chmod
1,14.5.2020 12:02:00,bash-command,44-ssh
2,14.5.2020 10:08:27,bash-command,40-Nmap
2,14.5.2020 10:10:02,bash-command,40-Nmap
2,14.5.2020 10:11:36,bash-command,40-sudo
2,14.5.2020 10:12:33,bash-command,40-Nmap
2,14.5.2020 10:14:29,bash-command,41-ls
2,14.5.2020 10:15:35,bash-command,41-nsfconsole
2,14.5.2020 10:17:31,bash-command,41-module
2,14.5.2020 10:17:49,bash-command,41-ls
2,14.5.2020 10:18:02,bash-command,41-cd
2,14.5.2020 10:18:03,bash-command,41-ls
2,14.5.2020 10:18:07,bash-command,41-cd
2,14.5.2020 10:22:38,bash-command,41-ssh
2,14.5.2020 10:25:34,bash-command,41-exploit
2,14.5.2020 10:26:51,bash-command,41-use
2,14.5.2020 10:27:22,bash-command,41-use
2,14.5.2020 10:27:24,bash-command,41-use
2,14.5.2020 10:28:27,bash-command,41-msfconsole
2,14.5.2020 10:31:24,msf-command,41-use
2,14.5.2020 10:31:43,msf-command,41-use
2,14.5.2020 10:32:44,msf-command,41-set
2,14.5.2020 10:34:19,msf-command,41-set
2,14.5.2020 10:34:27,msf-command,41-set
2,14.5.2020 10:34:35,msf-command,41-set
2,14.5.2020 10:54:06,bash-command,43-cd
2,14.5.2020 10:54:18,bash-command,43-cd
2,14.5.2020 10:54:19,bash-command,43-ls
2,14.5.2020 10:55:16,bash-command,43-john
2,14.5.2020 10:55:22,bash-command,43-ls
2,14.5.2020 10:55:32,bash-command,43-cat
2,14.5.2020 10:55:53,bash-command,43-ssh2john
2,14.5.2020 10:55:56,bash-command,43-ssh
2,14.5.2020 10:57:42,bash-command,43-./john.exe
2,14.5.2020 10:57:45,bash-command,43-./john
2,14.5.2020 10:57:51,bash-command,43-cd
2,14.5.2020 10:59:09,bash-command,43-./john.exe
2,14.5.2020 10:59:37,bash-command,43-.\john.exe
2,14.5.2020 11:03:45,bash-command,43-ssh2john
2,14.5.2020 11:05:14,bash-command,43-ls
2,14.5.2020 11:06:48,bash-command,43-cd
2,14.5.2020 11:06:49,bash-command,43-ls
2,14.5.2020 11:06:52,bash-command,43-cd
2,14.5.2020 11:08:04,bash-command,43-john
2,14.5.2020 11:08:10,bash-command,43-john
2,14.5.2020 11:08:47,bash-command,43-cd
2,14.5.2020 11:11:01,bash-command,43-.john
2,14.5.2020 11:13:24,bash-command,43-cd
2,14.5.2020 11:13:30,bash-command,43-pwd
2,14.5.2020 11:14:13,bash-command,43-pwd
